Codigo;Faixa;Nome;Potencia_kWp;Qtd_Modulos;Fabricante_Modulos;Potencia_Modulo_W;Tecnologia_Modulo;Eficiencia_Modulo;Inversor;Tipo_Inversor;Garantia_Modulos_Anos;Garantia_Inversor_Anos;Preco;Consumo_Min_kWh;Consumo_Max_kWh;Fornecedor;Link_B2B
KIT-IND-03;industrial;"Kit Industrial 82.50 kWp Growatt + 150x Placas Risen 550W";82.50;150;Risen Energy;550;Monocristalino N-Type;21.9;Growatt MAX 75KTL3-LV;String On-Grid Trifásico;25;10;72900.00;7500;11500;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-IND-04;industrial;"Kit Industrial 99.00 kWp Deye + 180x Placas Jinko 550W";99.00;180;Jinko Solar;550;Monocristalino TOPCon;22.0;Deye SUN-80K-G;String On-Grid Trifásico;25;10;88200.00;9000;14000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-05;industrial;"Kit Industrial 110.00 kWp Growatt + 200x Placas Canadian 550W";110.00;200;Canadian Solar;550;Monocristalino N-Type;22.0;Growatt MAX 100KTL3-LV;String On-Grid Trifásico;25;10;98900.00;10000;15500;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-IND-06;industrial;"Kit Industrial 121.00 kWp Deye + 220x Placas Risen 550W";121.00;220;Risen Energy;550;Monocristalino N-Type;21.9;Deye SUN-110K-G;String On-Grid Trifásico;25;10;108500.00;11000;17000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-07;industrial;"Kit Industrial 52.80 kWp Solis + 96x Placas Jinko 550W";52.80;96;Jinko Solar;550;Monocristalino TOPCon;22.0;Solis S5-GC50K;String On-Grid Trifásico;25;10;48900.00;4800;7200;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-08;industrial;"Kit Industrial 77.00 kWp Solis + 140x Placas Canadian 550W";77.00;140;Canadian Solar;550;Monocristalino TOPCon;22.0;Solis S5-GC60K;String On-Grid Trifásico;25;10;68000.00;7000;10500;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-09;industrial;"Kit Industrial 88.00 kWp Sungrow + 160x Placas Jinko 550W";88.00;160;Jinko Solar;550;Monocristalino N-Type;22.0;Sungrow SG75CX;String On-Grid Premium;25;10;89000.00;8000;12200;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-IND-10;industrial;"Kit Industrial 104.50 kWp Sungrow + 190x Placas Canadian 550W";104.50;190;Canadian Solar;550;Monocristalino TOPCon;22.0;Sungrow SG110CX;String On-Grid Premium;25;10;104200.00;9500;14500;Aldo Solar;https://www.aldosolar.com.br/geradores/microgeracao-ongrid/growatt
KIT-IND-11;industrial;"Kit Industrial 57.75 kWp Solis + 105x Placas Canadian 550W";57.75;105;Canadian Solar;550;Monocristalino TOPCon;22.0;Solis-50K-5G;String On-Grid Trifásico;25;10;52400.00;5200;7800;Sou Energy;https://www.souenergy.com.br/produtos/geradores
KIT-IND-12;industrial;"Kit Industrial 93.50 kWp Solis + 170x Placas JA Solar 550W";93.50;170;JA Solar;550;Monocristalino N-Type;21.8;Solis S5-GC80K;String On-Grid Trifásico;25;10;82900.00;8500;13000;Sou Energy;https://www.souenergy.com.br/produtos/geradores
